,,
,,
CRC 5-1,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
47,Multi-Agent based Energy Management Operation in Multi-Microgrid System,"CHAUDHARI, MADHURI; BHATTAR, CHANDRAKANT*; SURYAWANSHI, HIRALAL"
75,PV Supported Series DC-Electric Spring for Minimization of Storage Capacity in DC Microgrid,"Gawande, Snehal*; Mopari, Shrikant; Deshmukh, Shailesh"
105,Advanced Optimal Coordination Strategy for Overcurrent Relays in Smart AC Distribution Networks,"Bashir, Javeed*"
116,Integrated Energy Management with Hydrogen Demand: Optimizing Industrial Costs through BESS-Grid Trading,"Badar, Altaf Q H *; AFZAL, MOHD; Salodkar, Prachi"
225,PLL-Less Control with Multi-Mode Operation of Distributed Energy Resource Fed Inverter Ensuring AC Microgrid Reliability,"RAY, PRAGNYASHREE*; Shaban, Said Kasasura; ., Himanshu; Sen, Priyanka; Senapati, Laxmidhar; Behera, Pradyumna Kumar"
279,Optimizing Load Dispatch in EV-Integrated Microgrid via the Hybrid GSA-WOA Algorithm,"RAJ, HIMANSHU *; JAISWAL, SUPRIYA"
,,
,,
,,
,,
CRC 5-1,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
303,A Geometry-Dependent Framework for Predicting Wind Field Recovery and Quantifying Building Wake Impacts on Wind Turbines,"Prajapati, Navalkishor*; Paul, Santanu; Keprate, Arvind"
306,SCAPS 1D Analysis of Thickness- Driven Defect Density in Tin Based Perovskite Solar Cells ,"C, Dhivya Bharathy; P, Sriramalakshmi*"
382,Precision Control of a Stewart-Platform-Based Dual-Axis Solar Tracker Using Joint-Space PID Regulation,"Nishad, Dashrath *; Srivastava, Ankit; Prakash, Surya ; Singh, Ashutosh Kumar "
425,Mitigating Low-Frequency Oscillations in MMC-HVDC Integrated Offshore Wind Farms,"Tripathy, Ritwik*; Maulik, Avirup; Pandey, Jeewan Chandra"
649,Virtual Synchronous Generator-based Grid-Forming Control of a DFIG-based Wind Energy Conversion System,"Khajouei, Javad; Uddin, Mohammad*"
707,Event-Triggered Grid Impedance Estimation for Adaptive Virtual Synchronous Generator,"JADEJA, PRATIPALSINH*; BAKROLIWALA, ASFAQ; DARJI, PRANAV"
,,
,,
,,
,,
CRC 5-1,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
924,Protection of Solar PV Integrated Distribution Networks Using Multi Agent System and Wavelet Transform,"TALUKDER, PAHELI*; Gafoor Shaik, Abdul"
945,A Refined Mathematical Model for Hybrid Output Converters: State-Space Analysis and Stability Assessment,"Verma, Chandan *; Sena, Sanjay; Kumar, Ashok"
977,A Novel Enhanced Gain DC-DC Converter for 800V Fuel Cell Electric Vehicle,"Bashir, Yasir*; Edpuganti, Amarendra"
989,Sustainable Energy Management and Distributed Resource Planning in Remote Military Microgrids,"KUMARI, SAKSHI*; Krishan, Ram"
1026,A Novel Multi Level Active PV Cleaning Model,"PARUVU, RAVITEJA*; SINGH, GURVEER"
1131,Physics-Informed Neural Network-Based Season-Wise Temperature and Power Prediction of Heterojunction with Intrinsic Thin-Layer Photovoltaic Module,"Gofane, Manoj*; Magare, Dhiraj; Jadhav, Sharad"
,,
,,
,,
,,
CRC 5-1,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
1256,Three-Phase Digital Frequency-Locked Loop Based on Zero-Crossing Detection for Distorted Grid Conditions,"Naman*; Teja, A.V. Ravi "
1404,MHSI-Based Single-Phase Loss Detection for Grid-Interfacing Transformers,"Singh, Kunal; Kumar, Umesh; Das, Anubrata*; Maulik, Avirup; Verma, MK"
1418,Optimal Power Flow in Solar-Integrated Systems Using Skill Optimization Algorithm,"Rishabh, Rishabh*"
1426,Microclimate Dynamics Under Photovoltaic Modules with Different Cell Spacing Configurations,"Khan, Samar*"
